name,count
"Bart Simpson",58
"Nelson Muntz",48
"Homer Simpson",36
"Lisa Simpson",22
"Marge Simpson",13
"Milhouse Van Houten",9
"Seymour Skinner",9
"Spider-Man",4
"Mrs. Muntz",4
"Jimbo Jones",4
"Greystash",4
"T.R. Francis",4
"Kids",3
"Groundskeeper Willie",3
"Kearney Zzyzwicz",3
"Maluicious Krubb",3
"DEWEY BUNNEL OF 'AMERICA'",2
"ANGELICA",2
"Angelica Button",2
"Ralph Wiggum",1
"Database",1
"Martin Prince",1
"Dr. Octopus",1
"DOLPH",1
"MUFFLED FEMALE VOICE",1
"Snake Wizard",1
"2-headed Woman",1
"Unicorn",1
"Dummy",1
"Galahad",1
"Telephone Worker",1
"Apu Nahasapeemapetilon",1
"Grampa Simpson",1
"Gary Chalmers",1
"Moe Szyslak",1
"Lenny Leonard",1
"Homer's Thoughts",1
