name,count
"Springfield Elementary School",34
"Courtroom",22
"Simpson Home",22
"PARKING STRUCTURE",18
"Abandoned Warehouse",15
"Simpson Kitchen",15
"Springfield Mall",14
"Simpson Car",11
"Springfield County Court House",10
"England",10
"Lisa's Bedroom",9
"Mapple Store",5
"Lotion Store",4
"First Church of Springfield",4
"Moe's Tavern",3
"Computer Lab",3
"GARAGE",2
"CINNABUN STORE",1
"The Android's Dungeon & Baseball Card Shop",1
"Hospital",1
"Backyard",1
"Springfield Elementary School Yard",1
"CLASSROOM",1
"Springfield",1
