name,count
"C. Montgomery Burns",73
"Homer Simpson",41
"Gloria",36
"Snake Jailbird",17
"Marge Simpson",12
"Lisa Simpson",11
"Chief Wiggum",11
"Waylon Smithers",8
"Manager",7
"Waiter",6
"Carl Carlson",4
"Kent Brockman",4
"Bart Simpson",3
"Woody Allen",3
"Older Chinese Man",2
"Lenny Leonard",2
"Anti-theft Device",2
"Lou",2
"Cletus Spuckler",2
"Animal Catcher #1",1
"Captain Horatio McCallister",1
"Delivery Boy",1
"Society Matron",1
"MR. BURNS BRAIN",1
"Ned Flanders",1
"Eddie",1
