name,count
"Simpson Home",67
"Hospital",67
"Cathedral",20
"INSURANCE COMPANY",18
"Springfield Nuclear Power Plant",15
"HOSPITAL EMERGENCY ROOM",10
"Dr. Hibbert's Office",9
"MEDICAL LIBRARY",8
"Gas Station",7
"OPERATING THEATER",7
"Suburban House",6
"First Church of Springfield",6
"Emergency Room",5
"Moe's Tavern",5
"COLLEGE FRAT HOUSE",5
"Kwik-E-Mart",4
"HOSPITAL WAITING ROOM",4
"",2
"Truck Cab",2
"Intensive Care Corridor",2
"Homer's Car",1
"Road",1
"SPRINGFIELD TEMPLE",1
"Springfield Buddhist Temple",1
