id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
1,Simpsons Roasting on an Open Fire,12/17/89,1,1,26.7,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/617/479/Simpsons_01_08.jpg,http://www.simpsonsworld.com/video/273376835817
2,Bart the Genius,1/14/90,1,2,24.5,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/265/167/Simpsons_01_02.jpg,http://www.simpsonsworld.com/video/283744835990
3,Homer's Odyssey,1/21/90,1,3,27.5,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/621/883/Simpsons_01_03.jpg,http://www.simpsonsworld.com/video/273381443699
4,There's No Disgrace Like Home,1/28/90,1,4,20.2,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/632/119/Simpsons_01_04__343617.jpg,http://www.simpsonsworld.com/video/273392195780
5,Bart the General,2/4/90,1,5,27.1,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/274/735/Simpsons_01_05.jpg,http://www.simpsonsworld.com/video/300934723994
6,Moaning Lisa,2/11/90,1,6,27.4,7.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/631/642/Simpsons_01_06.jpg,http://www.simpsonsworld.com/video/273391683535
7,The Call of the Simpsons,2/18/90,1,7,27.6,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/636/523/Simpsons_01_09__827207.jpg,http://www.simpsonsworld.com/video/273396803837
8,The Telltale Head,2/25/90,1,8,28,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/688/495/Simpsons_01_07__906920.jpg,http://www.simpsonsworld.com/video/305663555641
9,Life on the Fast Lane,3/18/90,1,9,33.5,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/132/587/Simpsons_01_11.jpg,http://www.simpsonsworld.com/video/280384579592
10,Homer's Night Out,3/25/90,1,10,30.3,7.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/305/815/Simpsons_01_10.jpg,http://www.simpsonsworld.com/video/275197507879
11,The Crepes of Wrath,4/15/90,1,11,31.2,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/350/31/Simpsons_01_13.jpg,http://www.simpsonsworld.com/video/306382403766
12,Krusty Gets Busted,4/29/90,1,12,30.4,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/245/843/Simpsons_01_12.jpg,http://www.simpsonsworld.com/video/288019523914
13,Some Enchanted Evening,5/13/90,1,13,27.1,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/669/155/Simpsons_01_01.jpg,http://www.simpsonsworld.com/video/274504771647
14,"Bart Gets an ""F""",10/11/90,2,1,33.6,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/662/811/bart_gets_F.jpg,http://www.simpsonsworld.com/video/260539459671
15,Simpson and Delilah,10/18/90,2,2,29.9,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/663/286/Simpsons_02_02.jpg,http://www.simpsonsworld.com/video/260539971564
